,Symbols,Avg_50,Avg_200,Week_52_High,Week_52_Low,Vol_Avg_10_Day,Vol_Avg_3_Months,Held_By_Institusion,Perf_Week,Perf_Month,Perf_Quarter,Perf_Half_Year,Perf_Year,Analyst_Mean_Target_Price,Current_Stock_Price,Last_Q_Net,Prev_Q_Net,Sector
4198,RMBI,16.05,15.05,16.71,12.55,7.07k,6.79k,28.67%,-0.43%,-0.80%,2.16%,7.72%,19.93%,-,16.05,11.47,11.73,Financial Services
4199,RIGL,2.9098,3.5838,5.5000,2.3000,1.63M,1.48M,83.64%,0.00%,0.37%,-25.34%,-37.56%,-23.01%,8.00,2.71,-20.95,-13.82,Healthcare
4200,GPIAW,,,,,,,,,,,,,,,,,
4201,RITTD,,,,,,,,,,,,,,,,,
4202,XMPLX,,,,,,,,,,,,,,,,,
4203,RVAC,9.73,9.73,9.76,9.69,20.4k,71.33k,,,,,,,,,,,Financial Services
4204,RVSB,7.66,7.22,8.22,5.03,37.29k,35.44k,68.61%,3.31%,3.44%,6.55%,10.16%,50.19%,8.00,7.73,22.19,22.36,Financial Services
4205,RIVN,115.55,115.55,179.47,88.40,14.53M,28.04M,,2.60%,-17.06%,-,-,-,134.86,105.01,"-1,233.00",-580.00,Consumer Cyclical
4206,BURJX,,,,,,,,,,,,,,,,,
4207,RESC,,,,,,,,,,,,,,,,,
4208,ROAC,,,,,,,,,,,,,,,,,
4209,RKLB,13.71,12.05,21.34,9.50,3.4M,4.01M,27.46%,-7.05%,-26.71%,-22.71%,4.04%,10.11%,21.20,11.89,-1.06,-23.56,Industrials
4210,RMTIW,,,,,,,,,,,,,,,,,
4211,RMCF,8.70,7.44,10.36,4.02,7.33k,16.29k,32.81%,-1.31%,-7.75%,9.77%,6.46%,101.56%,-,7.86,0.20,0.58,Consumer Defensive
4212,EVRWQ,,,,,,,,,,,,,,,,,
4213,ROKU,256.76,333.53,490.76,190.23,5.48M,5M,69.64%,-3.01%,-2.80%,-25.79%,-51.05%,-33.80%,376.22,233.47,68.94,73.47,Communication Services
4214,DBDR,10.16,10.10,10.75,9.52,287.32k,241.77k,96.47%,-2.07%,-2.26%,-1.68%,-1.78%,-2.50%,-,9.95,,,Financial Services
4215,ROOT,4.1846,7.5164,25.6300,2.8400,4.89M,5.85M,55.34%,-8.86%,-29.24%,-45.25%,-73.38%,-82.94%,6.38,3.14,-133.00,-178.60,Financial Services
4216,RCLF,9.81,9.73,9.99,9.61,31.55k,133.91k,6.67%,,,,,,,,,,Financial Services
4217,ROSS,9.81,9.75,10.56,9.50,72.09k,114.72k,45.20%,,,,,,,,,,Financial Services
4218,ROCLU,10.02,10.02,10.16,9.67,28.12k,406.32k,,,,,,,,,,,
4219,ROVR,11.36,10.97,15.59,8.60,675.78k,571.31k,,-8.78%,-8.33%,-30.29%,-5.31%,-,15.33,9.77,-84.54,-15.46,Consumer Cyclical
4220,RPRX,39.50,40.28,53.23,34.86,1.49M,2.05M,62.01%,1.86%,-3.36%,8.91%,-2.54%,-19.44%,51.43,40.26,101.93,440.78,Healthcare
4221,RBCN,9.70,9.86,11.92,8.60,6.21k,3.6k,40.80%,-5.15%,-6.11%,-5.84%,-6.98%,0.91%,-,9.23,0.12,-0.12,Technology
4222,RUBY,13.26,20.51,38.71,6.75,614.08k,390.03k,98.09%,-5.77%,-15.94%,-43.35%,-59.16%,33.65%,25.67,10.15,-49.02,-50.18,Healthcare
4223,RMBL,40.43,38.70,64.13,28.50,128.52k,107.5k,37.19%,2.90%,0.78%,3.54%,-1.09%,37.56%,62.50,40.93,-22.54,-3.39,Consumer Cyclical
4224,RUSHA,53.68,48.25,57.66,39.21,148.45k,196.77k,98.58%,6.13%,6.33%,21.33%,29.72%,37.61%,63.25,55.89,69.40,58.04,Consumer Cyclical
4225,SCLP,,,,,,,,,,,,,,,,,
4226,RXII,,,,,,,,,,,,,,,,,
4227,RYAN,38.50,35.04,41.14,25.57,449.76k,403.09k,34.88%,3.11%,-0.87%,17.81%,-,-,39.38,39.69,-1.33,63.41,Financial Services
4228,STBA,31.24,31.31,35.80,24.20,197.51k,113.5k,62.47%,2.69%,5.12%,6.25%,1.09%,31.64%,32.50,31.49,39.25,39.05,Financial Services
4229,SONE,,,,,,,,,,,,,,,,,
4230,RBNF,,,,,,,,,,,,,,,,,
4231,SHAC,9.76,9.72,9.87,9.40,18.36k,22.81k,67.29%,,,,,,,,,,Financial Services
4232,WORX,1.5250,1.9320,5.0000,1.1600,258.43k,525.42k,1.99%,-6.15%,-20.26%,-41.06%,-29.89%,-6.15%,-,1.25,-0.96,-1.25,Healthcare
4233,SLS,7.29,8.89,15.08,5.20,176.38k,156.08k,16.06%,-10.52%,-21.41%,-41.87%,-51.71%,-12.56%,17.83,5.45,-7.08,-4.61,Healthcare
4234,SGOC,5.97,4.58,29.00,0.96,189.04k,990.87k,0.25%,,,,,,,,,,
4235,SINA,,,,,,,,,,,,,,,,,
4236,SLM,18.50,18.84,21.40,12.03,2.16M,2.01M,99.65%,5.86%,8.94%,11.94%,-6.88%,63.73%,23.88,19.56,304.51,317.12,Financial Services
4237,SUNS,15.02,15.42,16.41,13.41,68.9k,46.47k,14.68%,2.19%,-8.21%,-10.05%,-8.03%,-0.99%,17.00,14.05,2.45,4.24,Financial Services
4238,SORL,,,,,,,,,,,,,,,,,
4239,SPK,9.92,9.91,10.31,9.80,610,24.15k,0.00%,,,,,,,,,,Financial Services
4240,SRAX,5.1730,4.9317,7.2900,2.7900,75.8k,182.31k,19.49%,-4.17%,-16.76%,-13.81%,-19.67%,47.14%,10.25,4.54,-3.83,-5.74,Communication Services
4241,SJOE,,,,,,,,,,,,,,,,,
4242,STAA,104.84,125.06,163.08,77.74,312.23k,297.81k,93.49%,-1.32%,-3.16%,-26.24%,-39.19%,20.10%,146.00,94.8,6.02,8.57,Healthcare
4243,SIVB,713.37,607.50,763.22,376.40,286.91k,322.99k,93.15%,2.70%,-5.70%,4.15%,22.78%,81.70%,840.10,687.39,58.52,55.15,Financial Services
4244,SVFB,9.94,9.97,11.20,9.68,19.8k,67.71k,67.24%,1.22%,-0.70%,1.53%,0.50%,-,-,9.91,-0.27,-0.28,Financial Services
4245,TAHT,,,,,,,,,,,,,,,,,
4246,SBRAV,,,,,,,,,,,,,,,,,
4247,SFLK,,,,,,,,,,,,,,,,,
4248,SAGAU,9.99,9.99,10.20,9.97,835.86k,835.86k,,,,,,,,,,,Financial Services
4249,SAJA,,,,,,,,,,,,,,,,,
4250,SLRY,,,,,,,,,,,,,,,,,
4251,SAL,52.41,49.08,57.00,35.40,540,1.78k,23.39%,2.19%,-2.35%,1.86%,10.90%,35.47%,59.00,52.53,2.84,2.83,Financial Services
4252,SANB,9.92,9.92,10.10,9.87,8.51k,66.04k,,,,,,,,,,,Financial Services
4253,SAFM,188.58,180.56,200.00,125.55,183.69k,174.38k,82.01%,1.03%,1.17%,1.58%,1.03%,44.53%,199.29,189.77,183.94,164.76,Consumer Defensive
4254,SGMO,8.68,10.09,17.53,7.05,1.28M,1.33M,53.86%,-4.35%,-3.65%,-13.16%,-33.83%,-52.36%,20.33,8.03,-47.69,-47.17,Healthcare
4255,SANM,39.28,39.69,43.63,30.59,496.06k,327.96k,98.02%,6.35%,12.04%,7.60%,7.96%,33.82%,48.00,42.01,56.56,117.38,Technology
4256,STRC,7.80,7.59,10.05,5.95,659.44k,335.77k,,,,,,,,,,,Technology
4257,SATC,,,,,,,,,,,,,,,,,
4258,SVRA,1.1600,1.4665,3.5800,1.0300,359.88k,380.71k,68.98%,2.48%,8.77%,-2.36%,-27.06%,0.81%,5.00,1.29,-10.55,-10.94,Healthcare
4259,SBEI,,,,,,,,,,,,,,,,,
4260,SCOB,9.75,9.75,10.69,9.60,12.79k,100.55k,0.55%,,,,,,,,,,Financial Services
4261,SMIT,5.27,5.37,8.38,3.61,11.92k,44.06k,34.15%,1.27%,-11.41%,25.90%,1.64%,-6.05%,-,5.62,-1.05,-3.45,Technology
