,Symbols,Avg_50,Avg_200,Week_52_High,Week_52_Low,Vol_Avg_10_Day,Vol_Avg_3_Months,Held_By_Institusion,Perf_Week,Perf_Month,Perf_Quarter,Perf_Half_Year,Perf_Year,Analyst_Mean_Target_Price,Current_Stock_Price,Last_Q_Net,Prev_Q_Net,Sector
4116,RCKY,41.49,49.71,69.00,27.71,58.65k,56.17k,76.42%,9.92%,13.51%,-20.42%,-28.08%,42.41%,63.00,41.0,,,Consumer Cyclical
4117,RWAV,,,,,,,,,,,,,,,,,
4118,ROIV,8.71,9.39,16.76,5.80,1.7M,813.11k,36.06%,-14.37%,52.43%,7.89%,7.89%,4.10%,13.67,10.77,-208.48,-82.18,Healthcare
4119,MYRS,,,,,,,,,,,,,,,,,
4120,ROSE,9.90,9.90,10.00,9.77,6.04k,42.04k,,,,,,,,,,,Financial Services
4121,ROST,112.76,118.86,134.22,103.62,1.64M,1.93M,88.70%,4.39%,1.48%,-1.44%,-8.62%,-6.71%,137.97,114.51,385.03,494.26,Consumer Cyclical
4122,ROCG,9.88,9.86,10.02,9.77,10.48k,28.42k,9.09%,,,,,,,,,,Financial Services
4123,ROCR,9.94,9.88,10.10,9.61,7k,25.95k,12.88%,,,,,,,,,,Financial Services
4124,RGID,,,,,,,,,,,,,,,,,
4125,RGLD,101.99,110.03,129.69,92.01,490.89k,451.27k,82.15%,1.07%,1.49%,7.60%,-8.65%,-3.09%,137.58,104.46,,,Basic Materials
4126,RTWI,,,,,,,,,,,,,,,,,
4127,RUE,,,,,,,,,,,,,,,,,
4128,RWAY,12.97,12.97,14.05,11.84,190.28k,256.25k,,-2.05%,-5.56%,-,-,-,15.29,12.83,10.23,6.71,Financial Services
4129,RUSHB,52.79,45.61,57.40,36.20,22.89k,14.8k,41.00%,,,,,,,,,,Consumer Cyclical
4130,SCTR,,,,,,,,,,,,,,,,,
4131,RUTH,18.94,21.50,28.73,15.95,372.2k,361.88k,84.50%,1.27%,17.09%,-6.36%,-13.72%,14.66%,25.00,20.11,6.94,12.41,Consumer Cyclical
4132,RXST,11.75,12.74,19.67,9.18,66.17k,68.47k,29.94%,5.72%,-6.73%,-15.08%,-,-,20.50,10.41,,-13.48,Healthcare
4133,RCM,24.27,23.00,31.28,18.71,945.4k,932.22k,93.26%,4.66%,5.71%,17.78%,14.07%,6.24%,30.56,25.2,,,Healthcare
4134,RAPT,33.91,29.54,43.26,14.89,428.89k,256.9k,89.76%,9.50%,12.53%,11.90%,13.87%,81.73%,60.38,38.03,-18.65,-16.11,Healthcare
4135,ROLL,214.21,209.04,250.52,160.51,137.57k,143.29k,104.64%,0.75%,1.55%,-5.22%,2.14%,14.16%,256.25,204.84,6.93,26.00,Industrials
4136,RICK,68.90,68.03,81.65,35.00,52.55k,47.51k,51.76%,6.36%,14.55%,5.26%,10.86%,83.15%,89.00,77.0,2.30,12.30,Consumer Cyclical
4137,REE,4.15,7.62,16.66,3.40,2.36M,1.29M,6.54%,23.15%,17.65%,1.21%,-49.80%,-,13.00,5.17,-414.90,,Consumer Cyclical
4138,RFIL,7.39,7.57,9.63,4.78,48.09k,20.62k,30.92%,3.85%,13.50%,-2.25%,4.83%,62.58%,10.00,7.72,,0.93,Industrials
4139,RGCO,22.25,23.10,26.02,21.32,13.68k,9.02k,40.74%,3.26%,3.69%,-0.92%,-10.75%,-5.58%,37.00,23.15,0.00,0.61,Utilities
4140,RMGC,9.76,9.77,10.09,9.58,3.16k,78.18k,64.10%,,,,,,,,,,Financial Services
4141,RRM,,,,,,,,,,,,,,,,,
4142,RXRA,9.77,9.76,9.99,9.67,20.3k,46.79k,,,,,,,,,,,Financial Services
