,Avg_50,Avg_200,Week_52_High,Week_52_Low,Vol_Avg_10_Day,Vol_Avg_3_Months,Held_By_Institusion(%),Perf_Week(%),Perf_Month(%),Perf_Quarter(%),Perf_Half_Year(%),Perf_Year(%),Analyst_Mean_Target_Price,Current_Stock_Price,Last_Q_Net,Prev_Q_Net,Last_Q_Net - Prev_Q_Net,Sector,Updated_Price,Predict_Inc_Dec
1875,10.03,9.98,10.08,9.85,38830.0,41510.0,0.7722,-0.001,-0.004,0.005,0.006,0.0353,27.67,9.93,0.02,-0.23,0.25,1,9.95,1
1877,4.78,5.8458,7.81,3.59,427890.0,207190.0,0.5686,-0.0049,-0.0978,-0.2311,-0.3895,-0.275,9.0,4.08,0.02,-0.23,0.25,4,4.08,0
1878,9.75,9.71,9.9,9.56,37840.0,26220.0,0.1244,0.002,-0.0163999999999999,-0.0588999999999999,-0.1115,0.0353,27.67,12.23,0.02,-0.23,0.25,1,9.73,0
1883,33.05,39.86,71.78,27.65,840330.0,931860.0,0.6008,0.018,-0.042,-0.0875,-0.3289,-0.5276,55.0,31.03,-20.46,-13.15,-7.31,4,26.34,0
1884,10.37,12.57,17.5,8.51,447740.0,416870.0,0.9459,0.038,0.1222,-0.1166,-0.341,0.0353,13.88,10.61,0.02,-0.23,0.25,5,10.7,1
1886,160.7,163.82,179.98,141.65,439630.0,530510.0,0.9248,0.0171,0.102,0.0101,0.0265,0.0537,175.33,168.45,102.11,76.86,25.25,4,168.2,0
1887,5.2514,6.7712,31.83,3.69,47560.0,129770.0,0.1604,-0.0405,-0.2189999999999999,-0.4434,-0.4833,-0.2067,4.0,4.17,-0.97,-4.98,4.010000000000001,2,3.72,0
1888,20.88,24.68,37.99,14.39,222300.0,100000.0,0.5528,0.002,-0.0163999999999999,-0.0588999999999999,-0.1115,0.0353,27.67,12.23,0.02,-0.23,0.25,3,15.94,1
1889,9.19,9.84,18.88,7.03,211870.0,2690000.0,0.9481,-0.0266999999999999,0.1173,-0.0499,-0.1177999999999999,-0.124,18.33,8.55,-3.41,-3.57,0.1599999999999997,3,6.27,0
1890,9.82,9.79,10.63,9.64,5920.0,25690.0,0.0532,0.002,-0.0163999999999999,-0.0588999999999999,-0.1115,0.0353,27.67,12.23,0.02,-0.23,0.25,1,9.79,0
1891,6.87,6.93,9.2,5.29,15980.0,38530.0,0.0423,-0.0212,-0.081,-0.1767999999999999,-0.0285,0.0856,10.0,6.46,0.02,-0.23,0.25,5,6.74,1
1893,86.08,87.88,94.97,77.52,52530.0,33030.0,0.9726,0.023,0.0831,0.0905,0.0432,0.1987,27.67,89.97,19.25,12.34,6.91,9,88.56,0
1894,104.68,119.15,154.18,91.83,35440.0,28150.0,0.7605,0.005,-0.1172,-0.1264,-0.2183,-0.1478,170.0,95.35,6.93,28.77,-21.84,5,90.29,0
1895,7.38,7.38,10.2,5.27,55370.0,189340.0,0.5528,-0.1973,-0.3418,-0.0588999999999999,-0.1115,0.0353,14.5,5.42,-10.65,-11.87,1.2199999999999989,3,5.18,0
1896,10.03,10.03,10.09,10.01,39200.0,464660.0,0.5528,0.002,-0.0163999999999999,-0.0588999999999999,-0.1115,0.0353,27.67,12.23,0.02,-0.23,0.25,1,10.13,0
1898,196.26,176.18,206.84,133.36,433510.0,512830.00000000006,0.7439,0.0554,0.0504,0.2097,0.2627,0.5118,195.59,203.91,199.83,172.16,27.670000000000016,2,204.19,1
1899,37.51,32.8,45.5,22.5,1300.0,1900.0,0.0336,-0.0421999999999999,0.0419,0.0873,0.8068000000000001,0.0742999999999999,27.67,41.0,-0.39,0.91,-1.3,6,40.0,0
1902,9.77,9.72,9.9,9.6,22750.0,64580.0,0.7075,-0.0031,-0.0040999999999999,0.001,0.0062,0.0353,27.67,9.74,4.92,-8.22,13.14,1,9.76,1
