,Perf_Week,Perf_Month,Perf_Quarter,Perf_Half_Year,Perf_Year,Analyst_Mean_Target_Price,Current_Stock_Price
495,-13.33%,-16.38%,-37.29%,-40.77%,-53.14%,4.56,0.91
496,0.10%,-0.41%,0.52%,0.84%,-,-,9.75
497,,,,,,,
498,,,,,,,
499,,,,,,,
500,,,,,,,
501,3.30%,13.73%,1.39%,4.50%,17.27%,43.00,37.75
502,,,,,,,
503,,,,,,,
504,0.56%,-3.75%,-1.24%,49.02%,64.18%,466.67,387.59
505,-13.98%,-25.58%,-49.21%,-74.68%,83.78%,7.88,1.70
506,0.97%,-20.76%,-45.66%,-63.26%,-80.11%,20.00,3.12
507,,,,,,,
508,-7.77%,-20.54%,-29.64%,-68.44%,-,9.00,1.80
509,-6.49%,-6.23%,-36.61%,-59.68%,-72.45%,20.67,7.00
510,,,,,,,
511,-0.27%,22.63%,-2.17%,73.53%,61.45%,31.78,22.66
512,,,,,,,
513,-9.36%,-11.14%,14.21%,14.56%,-,15.75,11.52
514,0.00%,-0.31%,0.31%,0.88%,-,-,9.76
515,,,,,,,
516,6.92%,5.13%,24.27%,24.87%,41.83%,230.61,247.11
517,0.00%,-,-,-,-,-,9.88
518,,,,,,,
519,0.63%,-8.92%,-24.53%,-47.51%,-58.60%,14.50,6.74
520,-6.44%,-47.80%,-40.04%,-64.65%,-84.51%,-,0.92
521,1.53%,5.14%,-2.57%,-2.65%,91.59%,53.88,32.21
522,10.50%,-0.39%,46.21%,18.17%,172.57%,32.67,30.17
523,1.10%,-27.94%,-,-,-,29.22,15.85
524,-8.35%,-32.31%,75.07%,165.19%,456.77%,224.29,207.71
525,,,,,,,
526,6.69%,12.37%,11.53%,4.27%,19.81%,42.62,41.49
527,,,,,,,
528,-17.39%,-27.43%,-30.33%,-47.88%,-59.73%,14.38,2.16
529,,,,,,,
530,,,,,,,
531,-5.98%,3.52%,4.04%,-47.30%,-56.80%,86.00,38.28
532,-4.95%,-11.42%,-24.26%,-17.57%,-27.59%,22.71,8.40
533,-13.11%,9.46%,-12.59%,-38.61%,-53.65%,14.00,5.82
534,14.12%,13.17%,56.14%,25.21%,132.66%,-,89.72
535,,,,,,,
536,,,,,,,
537,,,,,,,
538,,,,,,,
539,17.91%,23.33%,-1.52%,-18.12%,223.75%,23.50,15.80
540,0.12%,-1.19%,-2.18%,-6.84%,-10.50%,-,9.82
541,,,,,,,
542,-19.14%,-44.25%,-39.36%,-63.81%,-70.96%,-,0.52
543,-2.88%,14.31%,-18.82%,-28.65%,-7.71%,42.92,35.72
544,2.35%,1.24%,15.31%,21.95%,53.86%,108.44,104.93
545,-1.75%,-17.75%,-21.02%,-27.60%,-3.14%,-,2.71
546,7.00%,7.96%,-10.02%,10.80%,33.38%,-,87.05
547,-2.51%,-18.84%,-,-,-,-,3.18
548,-5.54%,1.90%,-27.40%,-40.57%,-53.18%,15.00,7.76
549,-5.87%,-22.00%,-,-,-,28.20,17.69
550,2.02%,3.14%,-3.11%,6.12%,16.96%,29.52,24.14
551,2.97%,4.81%,16.28%,29.55%,50.59%,166.33,169.99
552,-4.47%,-21.85%,-13.00%,-33.89%,-45.72%,-,12.70
553,4.14%,10.42%,16.25%,13.70%,22.87%,67.75,70.60
554,5.68%,-12.40%,-0.20%,10.86%,90.52%,36.00,25.55
555,,,,,,,
556,3.01%,2.02%,5.35%,10.32%,50.86%,52.20,46.71
557,,,,,,,
558,,,,,,,
559,2.84%,-3.50%,9.41%,34.14%,61.37%,30.33,23.35
560,-0.10%,-0.25%,-,-,-,-,9.80
561,6.59%,6.64%,11.15%,13.98%,36.49%,66.00,61.31
562,-10.10%,-40.73%,-54.02%,-76.47%,-,-,0.82
563,,,,,,,
564,,,,,,,
565,,,,,,,
566,,,,,,,
567,-33.18%,-43.43%,-60.93%,-70.62%,-78.09%,2.00,0.23
568,3.51%,2.66%,2.50%,5.24%,25.93%,22.83,19.20
569,,,,,,,
570,,,,,,,
571,6.72%,11.00%,15.65%,7.44%,42.53%,65.04,57.27
572,-8.48%,2.88%,-9.41%,-38.60%,-10.87%,122.89,84.10
573,0.26%,-5.69%,-21.93%,-34.08%,23.70%,4.00,1.92
574,-5.39%,-26.10%,-32.79%,-55.18%,-20.76%,19.14,15.19
575,,,,,,,
576,-9.47%,-13.07%,-45.94%,-53.64%,-54.33%,-,1.58
577,,,,,,,
578,-1.85%,-16.35%,-24.00%,-37.41%,-9.83%,-,2.64
579,,,,,,,
580,14.69%,-16.47%,-29.21%,-50.65%,-,12.33,5.43
581,,,,,,,
582,-0.10%,-0.10%,0.99%,1.80%,0.40%,-,10.15
583,-1.12%,-33.22%,-10.21%,49.23%,86.68%,15.40,9.85
584,-4.79%,-66.41%,-72.20%,-58.14%,-61.50%,25.17,4.38
585,,,,,,,
586,7.73%,-21.16%,-22.46%,-21.77%,101.01%,31.00,19.26
587,,,,,,,
588,,,,,,,
589,4.77%,4.76%,2.44%,11.60%,59.57%,554.20,509.95
590,-1.42%,-2.80%,-33.97%,-47.61%,-37.35%,10.62,2.09
591,-6.06%,9.93%,-15.53%,-13.41%,-24.21%,6.86,3.12
592,3.53%,1.28%,-5.81%,-11.05%,-2.17%,63.43,38.94
593,-0.10%,-,-,-,-,-,9.98
594,-2.82%,-3.91%,-27.68%,-26.46%,-54.72%,87.90,22.23
595,0.07%,-4.43%,5.50%,-1.71%,142.71%,20.99,13.64
596,-8.30%,-34.66%,-49.07%,-69.04%,-78.31%,16.67,4.38
597,,,,,,,
598,-20.58%,23.38%,-,-,-,15.50,8.07
599,10.08%,9.40%,-9.54%,-25.40%,6.10%,324.50,239.24
600,,,,,,,
601,-3.15%,-14.00%,-36.95%,-43.42%,-38.57%,6.00,2.19
602,-9.84%,-18.43%,-15.45%,-1.75%,-20.24%,-,4.02
603,-8.81%,-23.66%,-42.42%,-59.07%,125.56%,12.00,3.13
604,,,,,,,
605,,,,,,,
606,,,,,,,
607,2.64%,9.90%,-2.98%,-20.51%,-,21.75,14.28
608,-3.48%,-34.81%,-32.74%,-74.16%,-71.29%,-,0.59
609,3.88%,-35.24%,22.65%,29.19%,161.03%,-,5.09
610,-6.49%,-14.92%,-42.72%,-57.42%,-84.27%,31.00,5.38
611,28.94%,-11.40%,-58.21%,10.18%,-65.17%,-,3.17
612,3.85%,-5.15%,3.32%,3.05%,54.58%,4.50,4.04
613,1.48%,6.03%,12.95%,5.80%,41.95%,81.00,81.20
614,-9.36%,-1.05%,-17.36%,-18.86%,-24.60%,14.80,8.81
615,-5.64%,-31.59%,-6.01%,-36.19%,-34.98%,41.43,27.61
616,0.10%,-0.31%,-,-,-,-,9.79
617,7.19%,18.63%,-18.93%,-20.93%,14.09%,29.27,21.55
618,3.54%,0.56%,1.70%,17.93%,19.10%,305.11,230.85
619,,,,,,,
620,-0.61%,-2.01%,6.71%,-,-,16.00,14.77
621,-0.30%,-,-,-,-,-,9.99
622,-24.40%,-47.33%,-75.31%,-32.77%,-,-,1.64
623,,,,,,,
624,,,,,,,
625,-12.82%,-10.13%,-37.35%,-55.87%,-68.35%,9.50,6.80
626,2.74%,11.27%,5.43%,24.33%,-6.27%,119.33,108.75
627,,,,,,,
628,,,,,,,
629,0.10%,0.69%,-0.49%,1.39%,10.99%,11.00,10.20
630,-1.81%,-14.45%,-41.54%,-33.43%,-,-,4.52
631,-6.67%,-18.25%,-84.19%,-97.66%,-,8.00,3.48
632,,,,,,,
633,,,,,,,
634,0.16%,25.55%,43.35%,52.78%,9.60%,55.75,56.62
635,,,,,,,
636,-2.26%,-20.73%,-41.70%,-46.06%,-14.47%,5.83,1.37
637,,,,,,,
638,17.60%,5.25%,26.10%,5.53%,-13.58%,11.00,4.36
639,-0.10%,0.00%,1.19%,1.59%,-0.39%,-,10.19
640,-11.42%,-23.62%,-66.64%,-75.21%,-70.21%,5.00,0.23
641,-3.90%,-19.86%,-42.19%,-48.37%,-13.28%,6.50,2.31
642,0.00%,-0.50%,-0.40%,-3.04%,-,-,9.90
643,4.48%,2.13%,-1.12%,9.72%,42.79%,21.00,17.58
644,-0.60%,-26.81%,-54.13%,-29.60%,-,-,3.32
645,4.42%,5.19%,15.07%,16.23%,50.54%,55.56,52.66
646,0.20%,0.49%,1.90%,2.51%,4.29%,-,10.20
647,9.17%,3.16%,25.46%,-,-,22.00,16.78
648,4.08%,19.19%,37.41%,41.06%,56.77%,667.43,670.66
649,,,,,,,
650,-4.44%,-4.05%,-29.04%,-11.90%,30.22%,-,2.39
651,,,,,,,
652,0.00%,-4.44%,1.06%,-2.34%,0.00%,14.00,9.20
653,4.23%,4.16%,5.17%,8.76%,38.03%,18.17,16.30
654,,,,,,,
655,,,,,,,
656,,,,,,,
657,8.08%,18.37%,57.73%,99.37%,102.93%,94.50,84.77
658,,,,,,,
659,-5.69%,-6.77%,-34.52%,-43.30%,-,57.27,34.11
660,15.32%,7.56%,-19.50%,-54.12%,-49.80%,-,1.25
661,0.00%,0.00%,0.50%,1.42%,-0.99%,-,9.99
662,3.22%,2.51%,19.35%,22.83%,38.94%,32.90,28.47
663,,,,,,,
664,,,,,,,
665,,,,,,,
666,,,,,,,
667,,,,,,,
668,-0.40%,-4.00%,3.49%,3.92%,-,-,10.11
669,,,,,,,
670,1.84%,4.72%,4.37%,15.46%,42.87%,16.83,15.53
671,-3.75%,34.97%,32.72%,155.63%,169.49%,-,8.05
672,1.53%,0.87%,-11.79%,-18.17%,16.88%,7.00,4.64
673,,,,,,,
674,5.44%,-3.19%,9.82%,33.02%,20.29%,42.12,35.97
675,-9.89%,-17.59%,-30.51%,-65.62%,17.99%,-,1.73
676,-1.02%,-0.21%,0.41%,-,-,-,9.74
677,,,,,,,
678,,,,,,,
679,,,,,,,
680,-5.02%,-0.21%,-19.43%,-48.68%,-56.28%,130.50,72.34
681,,,,,,,
682,,,,,,,
683,3.59%,8.39%,-1.94%,17.49%,14.16%,41.00,37.52
684,-0.73%,1.50%,-0.32%,1.50%,27.85%,-,20.07
685,8.04%,0.59%,8.42%,-13.16%,39.88%,-,15.05
686,0.94%,1.04%,-7.02%,-6.21%,22.21%,12.25,10.89
687,2.95%,4.41%,11.36%,17.40%,75.88%,38.50,32.26
688,,,,,,,
689,,,,,,,
690,,,,,,,
691,,,,,,,
692,1.10%,-4.37%,-10.94%,-3.94%,4.51%,96.75,69.51
693,1.82%,2.26%,-13.43%,-31.17%,-17.68%,34.00,17.07
694,,,,,,,
695,,,,,,,
696,1.82%,-0.78%,-6.41%,-13.03%,-6.78%,18.29,14.05
697,,,,,,,
698,,,,,,,
699,-6.25%,-29.06%,-31.36%,-50.69%,-72.28%,44.50,20.04
700,4.27%,-16.29%,-10.16%,39.52%,99.49%,32.00,24.13
701,-0.32%,2.87%,-0.56%,-12.92%,-18.20%,24.00,12.67
702,2.45%,-7.57%,-26.20%,-39.46%,-57.60%,22.50,3.19
703,-0.10%,-0.41%,-,-,-,-,9.70
704,-2.04%,3.74%,-7.29%,-25.18%,-25.28%,14.50,10.67
705,0.00%,-3.15%,0.80%,1.81%,-,-,10.14
706,,,,,,,
707,-1.84%,-2.80%,-19.05%,-24.88%,26.23%,70.29,48.77
708,-14.83%,-12.63%,-9.90%,-60.79%,-80.37%,56.80,19.11
709,2.72%,0.24%,14.60%,23.81%,127.32%,12.17,8.26
710,15.63%,-23.51%,-45.84%,-45.67%,-,19.00,5.28
711,-5.74%,-19.58%,-46.55%,-61.90%,-41.26%,44.70,19.97
712,-9.92%,-15.20%,-40.50%,-59.83%,-49.75%,74.21,66.41
713,,,,,,,
714,,,,,,,
715,-7.58%,-23.51%,-32.40%,-45.36%,-45.76%,69.09,36.54
716,-0.77%,-0.66%,-,-,-,-,9.72
717,-5.32%,-9.11%,-20.58%,-38.68%,17.19%,12.50,3.94
718,-4.86%,-20.24%,-38.69%,-55.17%,-43.77%,68.80,20.39
719,1.63%,10.04%,-4.73%,-13.35%,94.60%,19.50,13.87
720,,,,,,,
721,0.00%,2.57%,16.75%,7.44%,4.03%,115.89,90.71
722,-12.04%,-34.85%,-72.84%,-83.25%,-86.60%,37.00,4.00
723,-21.25%,-33.18%,-34.47%,-73.98%,-70.99%,18.00,4.50
724,-9.04%,-9.51%,-8.81%,-15.99%,-24.63%,13.00,3.63
725,,,,,,,
726,,,,,,,
727,,,,,,,
728,-2.66%,-12.99%,-38.55%,-44.92%,-31.34%,2.31,0.40
729,-0.38%,-34.94%,-28.32%,-49.90%,-,25.00,8.07
730,,,,,,,
731,,,,,,,
732,-1.27%,-15.52%,-16.43%,-39.38%,-41.50%,13.00,2.41
733,,,,,,,
734,12.12%,9.63%,48.49%,41.18%,459.19%,6.67,4.32
735,,,,,,,
736,-8.15%,-35.81%,-20.23%,-7.75%,-40.25%,14.00,6.18
737,,,,,,,
738,-0.64%,-7.29%,-12.40%,-7.09%,-21.49%,139.90,104.65
739,1.85%,0.22%,-1.46%,-2.46%,20.36%,15.18,13.52
740,,,,,,,
741,,,,,,,
742,,,,,,,
743,0.92%,3.99%,7.64%,0.87%,19.10%,23.67,17.47
744,0.66%,-29.48%,-27.63%,-39.10%,-19.51%,19.00,15.58
745,,,,,,,
746,2.44%,-19.25%,-28.31%,-50.47%,-51.36%,-,0.43
747,,,,,,,
748,,,,,,,
749,,,,,,,
750,,,,,,,
751,-21.17%,-23.05%,-,-,-,-,2.61
752,,,,,,,
753,,,,,,,
754,,,,,,,
755,-4.28%,-50.33%,-63.72%,-71.09%,-,29.00,4.92
756,-2.36%,-7.93%,-31.84%,-43.26%,-5.65%,-,4.34
757,0.80%,9.29%,0.29%,8.98%,9.12%,2713.26,2415.21
758,5.83%,-19.05%,-24.81%,-70.69%,-59.13%,-,0.42
759,1.93%,-1.45%,-26.90%,-10.19%,8.21%,41.50,29.28
760,,,,,,,
761,3.84%,24.31%,60.22%,56.17%,-,22.50,21.73
762,-5.35%,-12.53%,-45.11%,-51.44%,-52.42%,-,5.41
763,4.20%,1.36%,-6.45%,-13.05%,-13.08%,-,25.32
764,2.32%,2.24%,-,-,-,89.55,80.00
765,-4.89%,-15.85%,6.88%,60.41%,108.54%,-,8.65
766,-66.50%,-62.70%,-70.20%,-76.72%,-79.02%,81.20,13.88
767,0.00%,-0.51%,-0.41%,-3.16%,-38.63%,-,9.81
768,0.46%,2.44%,-0.29%,-10.31%,-35.43%,-,12.11
769,0.00%,-0.40%,1.76%,1.34%,-,-,9.86
770,2.24%,2.34%,-14.04%,-30.03%,-45.17%,14.50,10.00
771,,,,,,,
772,,,,,,,
773,,,,,,,
774,-8.74%,-24.19%,-23.58%,-58.50%,-75.66%,6.67,1.99
775,,,,,,,
776,,,,,,,
777,0.33%,0.42%,0.73%,0.79%,-,-,10.02
778,-14.06%,-31.08%,-53.17%,-76.24%,-4.46%,20.00,4.37
779,6.24%,-0.18%,5.88%,10.19%,56.66%,88.27,84.94
780,2.57%,1.50%,-1.65%,8.77%,53.53%,43.83,45.98
781,,,,,,,
782,,,,,,,
783,,,,,,,
784,1.00%,-,-,-,-,-,10.11
785,,,,,,,
786,-12.94%,-20.65%,-34.68%,-43.50%,-60.74%,11.00,5.79
787,,,,,,,
788,,,,,,,
789,0.68%,-8.48%,-39.13%,-41.11%,-10.20%,31.83,13.46
790,,,,,,,
791,,,,,,,
792,-7.87%,-10.14%,-32.03%,-48.26%,-70.94%,4.45,0.85
793,-17.98%,-27.36%,-37.34%,-69.00%,-72.91%,2.00,1.53
794,5.14%,10.84%,10.11%,26.65%,74.82%,128.00,109.29
795,3.14%,5.72%,-2.22%,-15.98%,-18.41%,57.67,41.92
796,0.00%,-0.20%,-,-,-,-,9.92
797,-0.15%,-0.41%,0.00%,0.31%,-,-,9.78
798,-8.05%,9.94%,10.62%,9.27%,-,-,10.94
799,0.00%,0.40%,0.51%,-,-,-,9.95
800,,,,,,,
801,5.60%,12.34%,21.46%,14.68%,14.62%,103.35,106.93
802,0.10%,0.40%,0.90%,1.10%,-1.46%,-,10.11
803,,,,,,,
804,,,,,,,
805,,,,,,,
806,,,,,,,
807,3.20%,3.14%,18.48%,9.28%,29.94%,232.38,229.30
808,2.09%,1.16%,9.08%,17.97%,28.56%,29.33,26.60
809,5.78%,8.46%,9.20%,4.72%,28.40%,160.60,144.50
810,0.31%,-0.30%,0.00%,-0.51%,-4.01%,-,9.80
811,3.35%,-12.13%,-43.06%,-0.62%,360.72%,-,20.39
812,3.36%,-1.36%,-6.08%,10.26%,84.12%,125.00,94.00
813,1.52%,10.97%,19.73%,22.83%,28.61%,66.00,58.31
814,3.65%,-5.75%,-7.36%,0.65%,7.36%,147.50,118.75
815,,,,,,,
816,0.73%,-8.44%,-7.62%,-8.44%,2.74%,-,4.10
817,-11.40%,-66.75%,-68.38%,-55.70%,-69.45%,18.83,4.01
818,,,,,,,
819,-12.13%,-18.01%,-47.09%,-73.90%,-66.60%,17.50,3.65
820,4.32%,-4.70%,-11.25%,-23.04%,-12.55%,18.00,11.40
821,-31.45%,-29.15%,-31.93%,-46.70%,-30.60%,12.45,7.08
822,2.77%,-0.79%,3.73%,-8.58%,4.59%,-,9.99
823,4.55%,-0.40%,-2.20%,-4.81%,12.71%,-,19.68
824,-0.19%,3.94%,11.00%,-32.23%,-37.73%,53.75,43.51
825,,,,,,,
826,,,,,,,
827,-8.16%,-25.55%,-70.54%,-70.12%,-87.51%,1.83,0.64
828,,,,,,,
829,2.62%,-7.69%,-28.27%,-47.36%,2.00%,50.00,26.38
830,4.82%,5.78%,0.62%,2.37%,39.77%,50.50,48.67
831,-4.52%,-22.12%,-8.91%,-32.16%,-38.56%,43.12,31.25
832,,,,,,,
833,,,,,,,
834,-9.32%,-20.80%,-36.34%,-63.77%,-63.89%,-,9.24
835,0.29%,1.29%,3.82%,21.40%,43.71%,11.00,17.50
836,6.33%,-2.95%,6.68%,27.29%,89.72%,30.38,26.21
837,1.30%,-7.31%,-0.40%,9.65%,49.29%,26.69,24.98
838,,,,,,,
839,,,,,,,
840,-6.96%,-10.91%,-24.23%,-42.69%,-23.04%,13.00,3.08
841,,,,,,,
842,-7.29%,-24.67%,-39.10%,-58.06%,-79.26%,7.50,2.44
843,-0.65%,-2.94%,-20.51%,-14.44%,-20.14%,26.25,12.70
844,,,,,,,
845,-0.84%,9.81%,-9.47%,-10.83%,-65.68%,23.75,6.27
846,,,,,,,
847,2.69%,-7.63%,-41.74%,-54.28%,-55.02%,37.40,19.60
848,-3.24%,5.34%,-27.36%,-51.96%,-39.96%,99.33,45.65
849,3.39%,13.23%,10.65%,-1.64%,2.05%,25.00,22.95
850,,,,,,,
851,,,,,,,
852,,,,,,,
853,2.92%,3.48%,5.28%,21.18%,36.09%,19.25,15.23
854,-14.16%,-20.92%,-48.10%,-14.75%,31.28%,-,9.00
855,,,,,,,
856,,,,,,,
857,,,,,,,
858,-0.99%,-3.12%,-5.53%,-1.87%,4.03%,-,40.18
859,-3.92%,-0.51%,-36.54%,-43.90%,-38.44%,87.50,43.80
860,-10.39%,-28.50%,-42.50%,-47.02%,-18.82%,-,1.44
861,,,,,,,
862,-0.21%,-1.12%,-0.10%,-,-,-,9.68
863,,,,,,,
864,2.75%,0.77%,3.12%,9.98%,36.69%,46.40,43.23
865,,,,,,,
866,,,,,,,
867,,,,,,,
868,,,,,,,
869,,,,,,,
870,,,,,,,
871,2.86%,-10.62%,-28.08%,-46.00%,31.57%,43.75,13.14
872,,,,,,,
873,-0.66%,0.96%,-24.78%,16.90%,127.80%,65.17,40.20
874,2.19%,-1.76%,-25.57%,-42.86%,-68.66%,5.58,0.70
875,-13.96%,-29.16%,-40.06%,-57.05%,-23.82%,3.25,0.58
876,3.95%,3.29%,-19.29%,-3.92%,78.84%,110.21,73.36
877,,,,,,,
878,,,,,,,
879,2.71%,-25.68%,-49.91%,-49.14%,-53.09%,11.88,5.50
880,,,,,,,
881,3.92%,6.46%,7.24%,-0.34%,39.70%,62.00,52.80
882,,,,,,,
883,,,,,,,
884,7.58%,18.40%,24.81%,28.78%,62.27%,18.00,16.61
885,-1.69%,-7.58%,-9.90%,-9.23%,93.49%,21.33,12.35
886,,,,,,,
887,,,,,,,
888,6.81%,-1.38%,-24.04%,-28.23%,-23.81%,119.42,78.28
889,-1.44%,5.21%,4.47%,28.49%,93.88%,47.25,34.15
890,-1.40%,-0.18%,-13.35%,-0.53%,-16.87%,42.20,29.16
891,,,,,,,
892,,,,,,,
893,-3.28%,-8.71%,-22.02%,-24.07%,-28.72%,15.67,8.01
894,1.00%,3.45%,0.52%,-7.73%,17.01%,25.75,21.40
895,,,,,,,
896,10.58%,-0.98%,4.48%,1.68%,140.48%,4.00,3.03
897,1.85%,-1.78%,-10.49%,-9.03%,-1.31%,771.61,661.54
898,,,,,,,
899,0.00%,-0.10%,-,-,-,-,9.85
900,-0.59%,-18.58%,-23.91%,-47.27%,95.68%,2.50,0.72
901,-4.04%,-10.66%,-13.64%,-3.39%,10.89%,15.80,3.04
902,5.43%,4.63%,3.49%,4.37%,34.66%,39.50,33.49
903,-39.44%,-48.83%,-56.75%,-63.30%,-76.86%,8.00,1.12
904,2.17%,0.60%,1.49%,2.73%,34.03%,51.33,45.40
905,,,,,,,
906,,,,,,,
907,,,,,,,
908,5.85%,-9.00%,-4.31%,-12.74%,65.82%,127.20,81.95
909,,,,,,,
910,,,,,,,
911,-1.53%,-18.35%,-21.82%,-47.67%,-59.56%,7.00,2.73
912,,,,,,,
913,,,,,,,
914,,,,,,,
915,,,,,,,
916,,,,,,,
917,-10.79%,11.98%,41.45%,1.42%,19.44%,-,2.09
918,,,,,,,
919,0.79%,-31.35%,-33.16%,-59.03%,-67.85%,-,1.30
920,-10.41%,-37.52%,-51.88%,-61.00%,-57.98%,-,0.58
921,,,,,,,
922,,,,,,,
923,,,,,,,
924,,,,,,,
925,,,,,,,
926,-1.67%,1.73%,27.14%,12.46%,-0.56%,33.67,16.66
927,,,,,,,
928,-8.96%,-20.84%,-37.85%,-61.87%,-21.83%,14.80,3.85
929,0.07%,-0.58%,-10.34%,-21.58%,11.23%,37.33,30.06
930,,,,,,,
931,-0.18%,-15.62%,-21.56%,-37.43%,-21.48%,126.50,69.89
932,3.12%,-2.90%,-1.14%,-1.37%,33.39%,134.80,114.64
933,,,,,,,
934,-8.01%,-41.05%,-60.00%,-54.97%,-55.16%,-,4.60
935,4.80%,14.71%,15.28%,20.68%,43.28%,62.63,63.67
936,-6.79%,-6.79%,-24.50%,-56.61%,41.12%,6.00,1.59
937,0.00%,0.22%,-0.14%,0.73%,26.54%,15.67,13.70
938,,,,,,,
939,,,,,,,
940,,,,,,,
941,3.12%,3.86%,6.27%,11.99%,40.31%,28.58,24.50
942,3.19%,2.57%,2.64%,5.72%,81.98%,35.56,27.43
943,-17.86%,-51.44%,-52.35%,-74.90%,-,13.80,2.50
944,,,,,,,
945,0.20%,0.00%,1.02%,-,-,-,9.94
946,-1.53%,-8.51%,-45.34%,-52.92%,-43.17%,-,1.31
947,0.00%,-19.19%,-33.49%,-71.04%,-56.70%,6.00,1.41
948,-3.81%,-22.99%,-52.72%,-42.92%,32.38%,10.40,2.75
949,,,,,,,
950,-7.71%,-15.05%,-42.42%,-64.86%,-68.04%,20.40,4.25
951,,,,,,,
952,-8.78%,-26.38%,-49.46%,-71.92%,-76.97%,8.20,3.91
953,-13.84%,-11.33%,-39.38%,-52.76%,-38.43%,6.33,2.98
954,1.91%,-0.18%,-6.48%,-3.59%,-13.04%,106.82,80.26
955,-1.22%,11.30%,52.13%,75.95%,135.80%,53.67,49.65
956,5.30%,6.96%,54.63%,53.18%,132.22%,-,614.98
957,-9.09%,-23.66%,-36.27%,-48.00%,-54.23%,4.50,0.67
958,-1.94%,-24.63%,-17.89%,-52.13%,-38.41%,-,1.04
959,-0.82%,-35.77%,-39.04%,-39.20%,-,15.00,6.02
960,2.91%,-10.91%,36.15%,38.79%,45.20%,39.38,32.39
961,-0.37%,-3.15%,-4.86%,7.63%,26.06%,-,21.55
962,-2.01%,4.41%,-1.07%,2.22%,-25.38%,22.50,8.53
963,5.30%,-30.35%,-,-,-,24.50,5.80
964,-5.35%,-27.69%,-25.85%,-39.35%,-,24.40,15.32
965,1.44%,3.39%,6.23%,1.11%,77.66%,259.75,267.26
966,1.98%,-20.91%,12.13%,-0.28%,-,392.25,257.11
967,,,,,,,
968,,,,,,,
969,4.37%,10.56%,-1.36%,-17.22%,-1.86%,25.14,19.77
970,,,,,,,
971,,,,,,,
972,2.95%,-0.70%,-15.19%,-15.02%,-4.90%,38.40,33.00
973,4.97%,-2.51%,-2.09%,-1.05%,10.92%,120.33,98.01
974,-10.27%,-31.42%,-52.16%,-66.59%,-88.15%,6.05,0.80
975,,,,,,,
976,2.84%,8.02%,-9.10%,-10.59%,26.75%,77.14,69.65
977,2.89%,2.12%,2.13%,-2.63%,10.53%,67.83,69.16
978,,,,,,,
979,4.38%,-14.29%,-20.04%,-28.32%,-8.74%,17.33,7.85
980,,,,,,,
981,,,,,,,
982,,,,,,,
983,,,,,,,
984,2.08%,3.97%,2.15%,8.25%,19.20%,50.00,43.63
985,,,,,,,
986,,,,,,,
987,1.56%,-2.01%,-16.56%,-11.98%,6.99%,35.38,29.52
988,,,,,,,
989,,,,,,,
990,,,,,,,
991,,,,,,,
992,2.87%,2.48%,-17.89%,-28.40%,13.77%,7.50,5.41
993,8.89%,-11.08%,27.77%,58.06%,-,92.64,76.69
994,-1.62%,-3.40%,-17.45%,-21.99%,-14.34%,2.75,2.34
995,2.76%,-0.33%,6.78%,25.11%,67.73%,38.60,32.90
996,12.62%,0.13%,-6.90%,-11.14%,76.62%,29.00,23.18
997,-2.31%,0.13%,-18.37%,-13.54%,53.23%,8.17,7.60
998,,,,,,,
999,15.21%,38.10%,73.50%,125.56%,144.58%,8.00,10.70
1000,-14.97%,-23.99%,-46.15%,-77.15%,-83.85%,6.36,3.24
1001,,,,,,,
1002,,,,,,,
1003,,,,,,,
1004,5.09%,1.91%,6.66%,14.42%,19.79%,169.56,151.67
1005,-6.29%,-8.96%,-4.08%,-34.84%,-40.08%,22.00,4.77
1006,-9.76%,-29.13%,-40.25%,-67.02%,-52.10%,1.99,0.66
1007,,,,,,,
1008,,,,,,,
1009,,,,,,,
1010,,,,,,,
1011,,,,,,,
1012,,,,,,,
1013,,,,,,,
1014,-12.36%,-32.17%,-62.97%,-12.36%,-37.93%,6.38,2.53
1015,4.10%,2.32%,25.67%,43.50%,52.33%,545.70,564.69
1016,5.09%,-23.77%,-20.88%,-,-,42.57,24.37
1017,-0.85%,-21.43%,-26.47%,-39.25%,-53.24%,221.73,161.99
1018,,,,,,,
1019,8.21%,11.06%,8.56%,-26.74%,-34.04%,27.00,19.79
1020,3.15%,-0.60%,6.08%,-10.72%,41.51%,55.33,36.96
1021,,,,,,,
1022,,,,,,,
1023,4.20%,4.32%,-8.71%,-12.56%,-4.00%,138.00,129.89
1024,,,,,,,
1025,-9.27%,-21.71%,3.01%,-36.87%,3.79%,-,1.43
1026,0.64%,4.83%,13.61%,47.60%,100.72%,463.00,655.40
1027,,,,,,,
1028,,,,,,,
1029,,,,,,,
1030,-4.65%,-10.21%,-29.71%,-49.41%,-,29.20,22.02
1031,3.90%,13.81%,30.77%,44.30%,107.79%,43.83,27.63
1032,-9.84%,-13.68%,-31.25%,-55.23%,-45.93%,-,4.09
1033,4.48%,3.67%,31.44%,70.93%,214.60%,25.83,27.57
1034,4.82%,12.10%,22.44%,13.89%,44.07%,16.40,15.59
1035,-1.64%,-7.88%,-13.65%,-17.68%,0.46%,294.31,210.03
1036,-4.66%,-14.25%,-11.01%,-27.42%,-48.83%,9.75,3.18
1037,0.14%,-11.82%,-12.79%,-7.91%,35.64%,93.11,59.51
1038,0.05%,-,-,-,-,-,10.09
1039,,,,,,,
