Avg_50,Avg_200,Week_52_High,Week_52_Low,Vol_Avg_10_Day,Vol_Avg_3_Months,Held_By_Institusion(%),Perf_Week(%),Perf_Month(%),Perf_Quarter(%),Perf_Half_Year(%),Perf_Year(%),Analyst_Mean_Target_Price,Current_Stock_Price,Last_Q_Net,Prev_Q_Net,Sector,Symbol,Current_Stock_Price/Avg_50
10.19,10.19,10.35,10.06,46660.0,642970.0,0.5528,0.002,-0.016399999999999998,-0.058899999999999994,-0.1115,0.0353,27.67,12.23,0.02,-0.23,Financial Services,ALSAU,1.2001962708537783
45.47,33.61,63.29,23.66,572210.0,448900.0,0.5942000000000001,0.1773,0.348,0.9887999999999999,1.0431,1.7185,65.0,61.33,23.42,19.54,Technology,AOSL,1.3488014075214427
2918.66,2641.97,3037.0,1699.0,1090000.0,1120000.0,0.6635,0.0158,0.0027,0.0891,0.1691,0.6659999999999999,3366.67,2932.72,18936.0,18525.0,Communication Services,GOOG,1.0048172791623553
11.74,13.92,19.36,10.31,1210000.0,982720.0,0.486,0.0161,0.1063,-0.0323,-0.2187,-0.1559,20.3,11.91,-43.03,-38.2,Healthcare,ATEC,1.014480408858603
10.01,10.01,10.1,9.83,730.0,29710.0,0.5528,0.002,-0.016399999999999998,-0.058899999999999994,-0.1115,0.0353,27.67,12.23,0.02,-0.23,Financial Services,REVE,1.2217782217782218
1.3754,4.2724,29.49,0.533,2430000.0,2430000.0,0.0304,-0.0394,-0.6075,-0.7592,-0.8991,-0.8948999999999999,27.67,0.6,-7.11,-66.65,Real Estate,AEI,0.4362367311327614
10.09,10.09,10.2,10.02,6670.0,276520.0,0.5528,0.002,-0.016399999999999998,-0.058899999999999994,-0.1115,0.0353,27.67,12.23,0.02,-0.23,Financial Services,AEAEU,1.2120911793855302
75.61,70.05,82.96,54.64,205800.0,202630.0,0.9968,0.022400000000000003,-0.0129,0.0802,0.0793,0.2834,86.29,75.03,-8.11,-13.65,Technology,ALTR,0.992329057003042
1.6376,2.6985,6.25,1.21,2760000.0,4070000.0000000005,0.5528,0.6015999999999999,0.19879999999999998,-0.0191,-0.42579999999999996,-0.2407,27.67,1.85,-6.75,-5.54,Healthcare,CYTO,1.1297020029311189
10.35,12.32,24.61,8.1,888680.0,773120.0,0.6474,-0.053099999999999994,-0.1491,-0.31579999999999997,-0.1137,-0.2064,31.67,9.17,-33.51,-24.83,Healthcare,ALT,0.8859903381642512
12.08,9.52,14.58,5.61,36550.0,77900.0,0.4631,0.0246,0.0593,0.141,0.2655,-0.15289999999999998,18.0,11.22,-18.27,-18.48,Financial Services,ASPS,0.9288079470198676
5.2326,5.3891,8.34,4.39,1500000.0,1630000.0,0.6025,-0.028300000000000002,-0.096,0.0084,-0.2144,-0.16519999999999999,11.33,4.87,-3.13,8.39,Basic Materials,ALTO,0.9307036654817873
65.44,65.15,91.0,45.55,42440.0,66780.0,0.4203,-0.0506,-0.0183,-0.09050000000000001,-0.096,0.3102,70.0,61.36,5.24,11.66,Energy,ALTM,0.9376528117359414
3457.6,3382.3,3773.08,2881.0,2880000.0,3220000.0,0.5971,-0.0070999999999999995,-0.0499,0.025099999999999997,-0.0163,0.0187,4110.76,3404.32,3156.0,7778.0,Consumer Cyclical,AMZN,0.9845904673762148
191.71,130.85,227.59,82.59,731620.0,749960.0,0.8223999999999999,0.0458,0.126,0.3234,0.9203,1.2922,218.0,205.22,0.76,-7.16,Technology,AMBA,1.070471023942413
163.83,213.71,325.12,133.62,355530.0,433900.0,0.9054000000000001,0.0322,0.12890000000000001,0.08929999999999999,-0.3328,-0.4343,204.07,166.28,45.01,80.15,Healthcare,AMED,1.014954526033083
25.23,19.53,29.05,11.26,2850.0,18430.0,0.1402,0.002,-0.016399999999999998,-0.058899999999999994,-0.1115,0.0353,27.67,12.23,0.02,-0.23,unknown,AMTBB,0.48474038842647643
726.78,641.48,769.9,439.7,41020.0,43200.0,0.3814,0.0148,0.0055000000000000005,0.0915,0.2254,0.6148,875.0,722.43,409.9,345.18,Industrials,UHAL,0.9940146949558325
3.8668,3.9444,5.34,3.05,4400.0,12320.0,0.436,-0.0026,0.0079,-0.0052,-0.0204,0.19940000000000002,27.67,3.85,17.11,17.13,Financial Services,ASRV,0.995655322230268
18.93,20.87,26.09,14.71,34580000.0,34510000.0,0.5637,-0.0039000000000000003,0.0175,-0.1409,-0.149,0.1381,19.11,18.28,169.0,19.0,Industrials,AAL,0.965662968832541
189.13,163.74,195.89,88.38,225540.0,89920.0,0.9637,0.0036,-0.0038,-0.0067,0.2696,0.9786,27.67,188.45,51.05,227.98,Financial Services,ANAT,0.9964045894358378
22.14,26.64,36.62,16.4,182460.0,155390.0,0.6869,0.0379,-0.1672,-0.2482,-0.4545,0.1404,32.25,19.5,4.58,3.46,Consumer Cyclical,AOUT,0.8807588075880759
26.77,23.41,33.27,16.31,113770.0,117290.0,1.1521,0.0208,0.1266,0.08470000000000001,0.18350000000000002,0.5461,33.67,26.19,3.31,2.95,Technology,AMSWA,0.978333955920807
14.03,14.1,16.49,10.44,409800.0,536350.0,0.5771999999999999,0.0225,0.0152,-0.0786,-0.013300000000000001,0.3493,18.25,14.17,94.6,66.0,Financial Services,ATCO,1.0099786172487528
67.84,79.29,108.81,56.29,209770.0,132550.0,0.9652,0.039900000000000005,0.0287,-0.0374,-0.2095,-0.30469999999999997,80.91,64.79,2.03,2.98,Consumer Cyclical,AMWD,0.9550412735849058
24.33,24.42,27.9,22.05,20120.0,16079.999999999998,0.2257,0.0308,-0.0037,0.051699999999999996,-0.0033,0.0222,27.67,24.39,9.12,9.13,Financial Services,ATLO,1.0024660912453762
